Locality / Area,Average Price Range (per sq. ft.),Primary Property Types,Flats,Plots,Houses/Villas,Commercial,Nearest Hospital Distance,Nearest School Distance,Lake Distance (Approx.),Luxury Apartments?,Dist. to MP Nagar/DB Mall,Dist. to AIIMS,Dist. to Airport,Dist. to Bhopal Jn. Rly Station
Tumda,"₹1,500 – ₹2,500","Agricultural Land, Plots",FALSE,TRUE,FALSE,FALSE,13.0 km,1.2 km,14.0 km (Upper Lake),FALSE,25.0 km,28.0 km,15.0 km,20.0 km
Lalghati,"₹5,000 – ₹8,000","Commercial, Flats",TRUE,FALSE,FALSE,TRUE,1.1 km,1.4 km,1.0 km (Upper Lake),TRUE,11.0 km,14.0 km,4.0 km,6.8 km
Char Imli,"₹15,000 – ₹25,000","Luxury Villas, Bungalows",FALSE,FALSE,TRUE,FALSE,1.6 km,1.1 km,2.0 km (Shahpura),TRUE (Villas Only),3.2 km,4.5 km,16.5 km,6.5 km
Tulsi Nagar,"₹8,000 – ₹12,000","Residential Flats, Houses",TRUE,FALSE,TRUE,FALSE,1.1 km,1.0 km,2.2 km (Lower Lake),FALSE,1.8 km,4.8 km,15.5 km,5.5 km
Shivaji Nagar,"₹9,000 – ₹13,000",Premium Residential,TRUE,FALSE,TRUE,FALSE,1.4 km,1.3 km,2.4 km (Lower Lake),TRUE,1.0 km,4.0 km,16.0 km,4.8 km
Professor Colony,"₹8,000 – ₹12,000",Independent Houses,TRUE,FALSE,TRUE,FALSE,1.2 km,0.9 km,0.4 km (Upper Lake),TRUE,5.5 km,8.5 km,12.5 km,3.8 km
Panchsheel Nagar,"₹4,000 – ₹6,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,1.9 km,1.6 km,1.2 km (Shahpura),FALSE,3.8 km,5.5 km,16.2 km,6.2 km
Sanjay Nagar,"₹3,000 – ₹5,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,2.5 km,2.1 km,1.8 km (Upper Lake),FALSE,7.5 km,10.5 km,11.5 km,3.8 km
Malviya Nagar,"₹9,000 – ₹14,000","Commercial, Flats",TRUE,FALSE,FALSE,TRUE,1.5 km,0.8 km,2.0 km (Lower Lake),FALSE,1.5 km,4.5 km,16.0 km,5.2 km
South TT Nagar,"₹8,000 – ₹12,000","Flats, Commercial Spaces",TRUE,FALSE,FALSE,TRUE,0.8 km,0.5 km,1.9 km (Lower Lake),FALSE,2.8 km,5.8 km,15.5 km,5.5 km
North TT Nagar,"₹8,000 – ₹12,000","Flats, Commercial Spaces",TRUE,FALSE,FALSE,TRUE,0.7 km,0.8 km,1.6 km (Lower Lake),FALSE,3.2 km,6.2 km,15.0 km,5.0 km
Halalpura,"₹3,500 – ₹5,500","Commercial, Flats",TRUE,FALSE,FALSE,TRUE,1.4 km,1.8 km,1.5 km (Upper Lake),FALSE,12.0 km,15.0 km,3.0 km,7.2 km
Gufa Mandir Road,"₹4,000 – ₹6,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,0.9 km,1.2 km,1.2 km (Upper Lake),FALSE,11.5 km,14.5 km,3.5 km,7.5 km
Jinsi,"₹3,000 – ₹5,000","Older Blocks, Commercial",FALSE,TRUE,FALSE,TRUE,1.1 km,1.5 km,1.2 km (Lower Lake),FALSE,4.2 km,7.2 km,14.5 km,3.0 km
Bogda Pul,"₹3,000 – ₹5,000","Commercial, Flats",TRUE,FALSE,FALSE,TRUE,1.5 km,1.9 km,1.8 km (Lower Lake),FALSE,2.8 km,5.8 km,15.8 km,3.2 km
Aishbagh,"₹3,000 – ₹5,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,1.8 km,2.2 km,2.5 km (Lower Lake),FALSE,3.5 km,6.5 km,16.5 km,2.8 km
Bagh Umrao Dulha,"₹2,500 – ₹4,500",Independent Houses,FALSE,TRUE,TRUE,FALSE,2.9 km,2.4 km,2.0 km (Lower Lake),FALSE,5.5 km,8.5 km,15.5 km,2.5 km
Bagh Farhat Afza,"₹2,500 – ₹4,500",Independent Houses,FALSE,TRUE,TRUE,FALSE,3.2 km,2.8 km,2.2 km (Lower Lake),FALSE,5.8 km,8.8 km,15.8 km,2.8 km
Chandbad,"₹3,000 – ₹5,000","Commercial, Flats",TRUE,FALSE,FALSE,TRUE,1.5 km,1.1 km,3.2 km (Lower Lake),FALSE,4.2 km,7.2 km,14.5 km,2.2 km
Chhola Mandir,"₹3,000 – ₹5,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,3.5 km,2.4 km,4.8 km (Upper Lake),FALSE,7.8 km,10.8 km,12.5 km,2.8 km
Sindhi Colony,"₹4,000 – ₹7,000","Flats, Commercial",TRUE,FALSE,FALSE,TRUE,2.2 km,1.8 km,2.5 km (Upper Lake),FALSE,7.8 km,10.8 km,11.5 km,2.5 km
Berasia,"₹1,500 – ₹3,000","Plots, Agricultural Land",FALSE,TRUE,FALSE,FALSE,1.2 km,0.8 km,38.0 km (Upper Lake),FALSE,43.0 km,46.0 km,35.0 km,38.0 km
Kazi Camp,"₹3,000 – ₹5,000",Independent Houses,FALSE,TRUE,TRUE,FALSE,1.8 km,1.4 km,2.2 km (Upper Lake),FALSE,6.8 km,9.8 km,11.5 km,2.2 km
Bairagarh Khurd,"₹2,000 – ₹3,500","Plots, Independent Houses",FALSE,TRUE,TRUE,FALSE,2.5 km,3.2 km,2.0 km (Upper Lake),FALSE,13.5 km,16.5 km,3.8 km,8.8 km
Kohefiza Ext.,"₹4,500 – ₹6,500",Premium Apartments,TRUE,FALSE,FALSE,FALSE,2.8 km,1.5 km,1.5 km (Upper Lake),TRUE,11.0 km,14.0 km,6.8 km,6.0 km
Bairagarh Kalan Ext,"₹2,000 – ₹3,500",Plots,FALSE,TRUE,FALSE,FALSE,2.2 km,2.9 km,1.8 km (Upper Lake),FALSE,12.2 km,15.2 km,4.5 km,7.5 km
Gandhi Nagar Ext.,"₹2,500 – ₹4,500","Independent Houses, Plots",FALSE,TRUE,TRUE,FALSE,1.5 km,1.9 km,4.2 km (Upper Lake),FALSE,13.0 km,16.0 km,1.8 km,9.0 km
Dwarka Nagar,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,3.8 km (Lower Lake),FALSE,5.5 km,8.5 km,14.5 km,1.8 km
Railway Col. (Nish),"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,0.5 km,0.4 km,5.0 km (Upper Lake),FALSE,7.0 km,10.0 km,11.5 km,2.2 km
Amrawad Khurd,"₹2,500 – ₹4,500","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.2 km,2.5 km,4.8 km (Shahpura),FALSE,8.5 km,7.2 km,22.5 km,12.5 km
Trilanga,"₹3,200 – ₹6,000","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,0.6 km,0.9 km,1.2 km (Shahpura),TRUE,5.2 km,4.2 km,21.2 km,10.2 km
Nehru Nagar,"₹3,100 – ₹5,200","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,2.5 km,1.1 km,2.2 km (Kaliasot Outlet),FALSE,5.8 km,6.8 km,16.5 km,8.5 km
Shastri Nagar,"₹2,800 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,2.1 km (Lower Lake),FALSE,3.8 km,6.2 km,16.8 km,6.8 km
Rajharsh Colony,"₹2,200 – ₹4,000","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,0.8 km,1.2 km,2.5 km (Kaliasot Dam),FALSE,8.5 km,7.5 km,22.5 km,13.5 km
Panchwati Colony,"₹2,100 – ₹3,800","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.9 km,2.2 km,2.5 km (Upper Lake),FALSE,12.2 km,15.2 km,2.0 km,8.2 km
Amaltas Gold Zone,"₹2,800 – ₹5,000","Villa, Land",FALSE,TRUE,TRUE,FALSE,2.8 km,3.2 km,3.5 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,23.2 km,14.2 km
Bagli Village,"₹1,800 – ₹3,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.2 km,2.8 km,3.8 km (Shahpura),FALSE,7.2 km,5.8 km,22.2 km,12.2 km
Kalyanpur,"₹2,000 – ₹3,600","Flat, Land, Apartment",TRUE,TRUE,FALSE,FALSE,2.5 km,2.9 km,3.2 km (Kaliasot Dam),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Dehriya Kalan,"₹1,900 – ₹3,400","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.2 km,3.8 km,4.2 km (Kaliasot Dam),FALSE,9.5 km,8.3 km,24.5 km,14.5 km
Thua Kheda,"₹2,200 – ₹3,800","Villa, Land",FALSE,TRUE,TRUE,FALSE,2.8 km,3.4 km,3.8 km (Kaliasot Dam),FALSE,9.1 km,7.9 km,24.1 km,14.1 km
Barkhedi Kalan,"₹2,800 – ₹4,900","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,3.2 km,2.1 km,1.5 km (Kerwa Dam),FALSE,11.5 km,10.2 km,20.5 km,12.8 km
Bhadbhada Corridor,"₹3,500 – ₹6,500","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.2 km,2.4 km,0.5 km (Kaliasot Lake),TRUE,9.0 km,7.8 km,18.0 km,10.5 km
Chinar Fortune Zone,"₹3,200 – ₹5,800","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Bharat Nagar,"₹2,900 – ₹4,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,1.9 km,2.5 km (Shahpura),FALSE,3.2 km,4.2 km,18.2 km,8.2 km
Pratap Nagar,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,2.2 km,2.8 km (Shahpura),FALSE,3.5 km,4.5 km,18.5 km,8.5 km
Peer Gate Area,"₹3,500 – ₹5,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,0.8 km,0.5 km,0.5 km (Lower Lake),FALSE,5.2 km,8.2 km,11.2 km,1.8 km
Sarai Jumerati,"₹3,200 – ₹5,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.1 km,0.8 km,0.8 km (Lower Lake),FALSE,5.5 km,8.5 km,11.5 km,2.1 km
Lakherapura,"₹3,400 – ₹5,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,0.9 km,0.6 km,0.7 km (Lower Lake),FALSE,5.3 km,8.3 km,11.3 km,2.0 km
Lake View Colony,"₹3,800 – ₹6,500","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,1.9 km,1.2 km,0.3 km (Upper Lake),TRUE,6.8 km,9.8 km,12.8 km,4.1 km
Nur Mahal Road,"₹3,000 – ₹4,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.5 km,1.1 km,1.1 km (Upper Lake),FALSE,6.0 km,9.0 km,12.0 km,3.2 km
Naveen Nagar,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,2.1 km,4.2 km (Lower Lake),FALSE,4.5 km,7.5 km,16.5 km,4.5 km
Mayur Vihar,"₹2,600 – ₹4,500","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.8 km,2.4 km,5.8 km (Shahpura),FALSE,10.5 km,7.8 km,25.5 km,15.5 km
Shaheed Nagar,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,2.5 km,4.6 km (Lower Lake),FALSE,4.8 km,7.8 km,16.8 km,4.8 km
Khatikpura,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,1.6 km (Upper Lake),FALSE,6.2 km,9.2 km,12.2 km,3.5 km
Gurunanak Pura,"₹2,700 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.7 km,2.1 km (Upper Lake),FALSE,6.5 km,9.5 km,12.5 km,3.8 km
Hazrat Nizamuddin,"₹2,900 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.8 km,4.8 km (Lower Lake),FALSE,5.1 km,8.1 km,17.1 km,5.1 km
Bhojpur Road Outer,"₹2,000 – ₹3,800","Villa, Land",FALSE,TRUE,TRUE,FALSE,4.8 km,4.2 km,6.5 km (Shahpura),FALSE,11.5 km,9.2 km,26.5 km,16.5 km
Arera Hills (Inst),"₹4,500 – ₹8,000","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,1.5 km,1.1 km,1.5 km (Lower Lake),TRUE,1.5 km,4.5 km,14.5 km,4.5 km
Malviya Nagar Blk B,"₹4,000 – ₹7,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,0.7 km,1.9 km (Lower Lake),FALSE,1.4 km,4.4 km,15.9 km,5.1 km
Char Imli Club Rd,"₹6,000 – ₹11,000",Villa,FALSE,FALSE,TRUE,FALSE,1.4 km,0.9 km,1.8 km (Shahpura),TRUE (Villas Only),3.0 km,4.3 km,16.3 km,6.3 km
Riviera Town Sector,"₹4,200 – ₹7,500","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,2.4 km,2.1 km,0.8 km (Shahpura),TRUE,4.2 km,4.5 km,19.2 km,9.2 km
Vidya Nagar,"₹2,800 – ₹4,900","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.2 km,1.8 km,2.0 km (Shahpura),FALSE,4.0 km,3.2 km,19.0 km,9.0 km
Sriram Nagar,"₹2,400 – ₹3,900","Flat, Land, Apartment",TRUE,TRUE,FALSE,FALSE,2.8 km,2.4 km,7.8 km (Lower Lake),FALSE,9.5 km,11.5 km,19.5 km,10.0 km
Khajuri Sadak Byp,"₹1,500 – ₹2,800","Villa, Land",FALSE,TRUE,TRUE,FALSE,7.8 km,1.4 km,8.3 km (Upper Lake),FALSE,20.8 km,23.8 km,9.8 km,15.8 km
Abbas Nagar,"₹2,300 – ₹4,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.2 km,2.5 km,4.8 km (Upper Lake),FALSE,12.8 km,15.8 km,2.2 km,8.8 km
Badwai,"₹2,200 – ₹4,000","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,3.2 km,2.8 km,7.2 km (Upper Lake),FALSE,11.5 km,14.5 km,13.5 km,6.5 km
Karond Mandi Enc.,"₹2,400 – ₹3,800","Flat, Land, Apartment",TRUE,TRUE,FALSE,FALSE,1.9 km,2.9 km,6.4 km (Upper Lake),FALSE,9.8 km,12.8 km,11.2 km,4.8 km
Singarcholi,"₹2,500 – ₹4,500","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.5 km,2.2 km,1.2 km (Upper Lake),FALSE,10.5 km,13.5 km,3.5 km,6.5 km
Data Colony,"₹2,600 – ₹4,600","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,2.1 km,1.8 km,1.6 km (Upper Lake),FALSE,10.1 km,13.1 km,3.1 km,6.1 km
Bangrasia Corridor,"₹1,800 – ₹3,200","Villa, Land",FALSE,TRUE,TRUE,TRUE,1.1 km,5.8 km,12.0 km (Kaliasot Dam),FALSE,19.5 km,17.5 km,33.5 km,24.5 km
Lambakheda Sector,"₹2,000 – ₹3,500","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,4.8 km,4.1 km,9.0 km (Upper Lake),FALSE,13.5 km,16.5 km,15.5 km,8.5 km
Gondermau,"₹2,200 – ₹3,600","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.8 km,3.1 km,4.0 km (Upper Lake),FALSE,12.5 km,15.5 km,4.5 km,7.5 km
Bhauri High-Tech,"₹2,100 – ₹3,800","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,3.2 km,4.5 km,4.5 km (Upper Lake),FALSE,16.5 km,19.5 km,8.5 km,11.5 km
Arhedi Village Seg,"₹1,600 – ₹2,900",Villa,FALSE,FALSE,TRUE,FALSE,5.5 km,4.8 km,6.0 km (Upper Lake),FALSE,15.5 km,18.5 km,5.5 km,10.5 km
Indus Towne Sector,"₹2,200 – ₹3,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,3.5 km,3.2 km,5.5 km (Shahpura),FALSE,10.5 km,8.2 km,25.5 km,15.5 km
11th Mile Enclave,"₹2,500 – ₹4,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.8 km,2.5 km,5.0 km (Shahpura),FALSE,9.8 km,7.5 km,24.8 km,14.8 km
Kotra Sultanabad,"₹3,000 – ₹4,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,1.5 km,1.8 km (Upper Lake),FALSE,5.2 km,6.2 km,15.8 km,7.8 km
Shyampur Fringe,"₹1,500 – ₹2,700",Villa,FALSE,FALSE,TRUE,FALSE,8.5 km,7.2 km,9.5 km (Upper Lake),FALSE,18.5 km,21.5 km,9.5 km,13.5 km
Pipaliya Pende,"₹2,400 – ₹4,200","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.8 km,3.2 km,4.5 km (Kaliasot Dam),FALSE,11.5 km,10.2 km,25.5 km,16.5 km
Municipal Emp Col,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,4.0 km,3.2 km,19.0 km,9.0 km
Friends Colony,"₹2,700 – ₹4,300","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.4 km,2.1 km,2.4 km (Shahpura),FALSE,4.2 km,3.4 km,19.2 km,9.2 km
Azad Market Sector,"₹3,200 – ₹5,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.1 km,1.2 km (Upper Lake),FALSE,5.8 km,8.8 km,11.8 km,2.1 km
Padmanabh Nagar,"₹2,900 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.5 km,1.8 km,4.2 km (Lower Lake),FALSE,4.2 km,7.2 km,16.2 km,4.2 km
Saibaba Colony,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,2.1 km,4.5 km (Lower Lake),FALSE,4.5 km,7.5 km,16.5 km,4.5 km
Barkheda End Blk,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,2.1 km,5.2 km (Lower Lake),FALSE,7.5 km,5.5 km,21.5 km,11.0 km
Nirupam Enclave,"₹2,600 – ₹4,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.6 km,2.3 km,2.4 km (Shahpura),FALSE,4.5 km,3.5 km,19.5 km,9.5 km
Rishi Puram,"₹2,400 – ₹4,100","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.8 km,2.4 km,3.2 km (Kaliasot Dam),FALSE,9.1 km,7.9 km,24.1 km,14.1 km
Aashima Royal Belt,"₹2,800 – ₹4,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.1 km,1.5 km,4.6 km (Shahpura),FALSE,8.1 km,5.8 km,23.1 km,13.1 km
British Park,"₹3,000 – ₹5,500","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.9 km,3.2 km,5.2 km (Shahpura),FALSE,9.9 km,7.6 km,24.9 km,14.9 km
Santa Fe Enclave,"₹2,700 – ₹4,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.5 km,2.8 km,4.9 km (Shahpura),FALSE,9.5 km,7.2 km,24.5 km,14.5 km
Sage Suncity,"₹2,500 – ₹4,300","Flat, Land",TRUE,TRUE,FALSE,FALSE,3.2 km,2.8 km,4.2 km (Kaliasot Dam),FALSE,10.5 km,9.2 km,24.5 km,15.5 km
Valencia Luxury,"₹3,200 – ₹5,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.5 km,2.1 km,3.5 km (Kaliasot Dam),TRUE,8.5 km,7.2 km,23.5 km,13.5 km
Grandeur Heights,"₹3,000 – ₹4,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,1.9 km,4.5 km (Shahpura),FALSE,8.2 km,5.9 km,23.2 km,13.2 km
Shaligram Strip,"₹3,200 – ₹5,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.9 km,1.5 km,4.1 km (Shahpura),FALSE,7.9 km,5.6 km,22.9 km,12.9 km
Titania Phase Line,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.1 km,4.7 km (Shahpura),FALSE,8.4 km,6.1 km,23.4 km,13.4 km
Orchid Park Belt,"₹2,600 – ₹4,400","Villa, Land",FALSE,TRUE,TRUE,FALSE,2.9 km,2.5 km,3.4 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,23.2 km,14.2 km
Amar Vatika Phase,"₹2,200 – ₹3,800",Land,FALSE,TRUE,FALSE,FALSE,3.5 km,3.1 km,4.0 km (Kaliasot Dam),FALSE,9.8 km,8.6 km,23.8 km,14.8 km
Abhinav Paras,"₹2,600 – ₹4,300","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.8 km,1.4 km,2.5 km (Kaliasot Dam),FALSE,8.1 km,6.9 km,23.1 km,13.1 km
BDA Aerocity B,"₹2,800 – ₹5,000","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,2.2 km,2.5 km,4.8 km (Upper Lake),FALSE,12.8 km,15.8 km,2.2 km,8.8 km
BHEL Sangam,"₹2,400 – ₹3,900",Villa,FALSE,FALSE,TRUE,FALSE,3.2 km,2.8 km,6.5 km (Lower Lake),FALSE,7.5 km,8.0 km,20.5 km,8.5 km
Aradhana Nagar,"₹2,900 – ₹4,800","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,2.5 km,2.1 km,2.2 km (Shahpura),FALSE,3.5 km,2.5 km,18.5 km,8.5 km
Ahir Mohalla,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.1 km,1.2 km (Upper Lake),FALSE,5.8 km,8.8 km,11.8 km,2.1 km
Itwara Bazaar,"₹3,000 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.1 km,0.8 km,0.9 km (Lower Lake),FALSE,5.5 km,8.5 km,11.5 km,1.8 km
Lotus Hospital,"₹2,700 – ₹4,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.5 km,1.1 km,6.8 km (Lower Lake),FALSE,9.5 km,11.5 km,19.5 km,10.0 km
Semra Mandi,"₹2,300 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,6.2 km (Upper Lake),FALSE,8.2 km,11.2 km,14.2 km,4.5 km
Anupam Kasturi,"₹2,400 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.9 km,2.5 km,7.0 km (Lower Lake),FALSE,8.5 km,10.0 km,23.0 km,12.0 km
Priya Darshani,"₹3,000 – ₹5,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,2.1 km (Shahpura),FALSE,3.8 km,2.8 km,18.8 km,8.8 km
Old Subhash Nagar,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.2 km,1.5 km,3.6 km (Lower Lake),FALSE,2.2 km,5.2 km,16.2 km,4.2 km
Ram Nagar,"₹2,500 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,3.9 km (Lower Lake),FALSE,2.5 km,5.5 km,16.5 km,4.5 km
Nishatpura Cabin,"₹2,200 – ₹3,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.2 km,0.9 km,5.4 km (Upper Lake),FALSE,7.2 km,10.2 km,11.5 km,2.5 km
Karond Mandi Rd B,"₹2,400 – ₹3,900","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,2.1 km,3.1 km,6.6 km (Upper Lake),FALSE,9.8 km,12.8 km,11.2 km,4.8 km
Badwai Station,"₹2,100 – ₹3,500",Villa,FALSE,FALSE,TRUE,FALSE,3.5 km,3.1 km,7.5 km (Upper Lake),FALSE,11.8 km,14.8 km,13.8 km,6.8 km
Abbas Nagar Ph 3,"₹2,400 – ₹4,400","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.5 km,2.8 km,5.1 km (Upper Lake),FALSE,13.1 km,16.1 km,2.5 km,9.1 km
Khajuri Junction,"₹1,600 – ₹2,800",Villa,FALSE,FALSE,TRUE,FALSE,7.8 km,1.2 km,8.2 km (Upper Lake),FALSE,20.5 km,23.5 km,9.5 km,15.5 km
Sriram Nagar Ext,"₹2,300 – ₹4,000","Flat, Villa, Apartment",TRUE,FALSE,TRUE,FALSE,3.1 km,2.7 km,8.1 km (Lower Lake),FALSE,9.8 km,11.8 km,19.8 km,10.3 km
Vidya Nagar Sec C,"₹2,700 – ₹4,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.4 km,2.0 km,2.2 km (Shahpura),FALSE,4.2 km,3.4 km,19.2 km,9.2 km
Riviera Town Ph 2,"₹4,000 – ₹7,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.6 km,2.3 km,0.9 km (Shahpura),TRUE,4.5 km,4.8 km,19.5 km,9.5 km
Char Imli Nursery,"₹5,500 – ₹9,500",Land,FALSE,TRUE,FALSE,FALSE,1.5 km,1.0 km,1.9 km (Shahpura),FALSE,3.2 km,4.5 km,16.5 km,6.5 km
Malviya Nagar Blk C,"₹4,000 – ₹6,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.6 km,0.9 km,2.1 km (Lower Lake),FALSE,1.6 km,4.6 km,16.1 km,5.3 km
Arera Hills Link,"₹4,200 – ₹7,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.6 km,1.2 km,1.6 km (Lower Lake),FALSE,1.6 km,4.6 km,14.6 km,4.6 km
Bhojpur Outer Ext,"₹1,800 – ₹3,400",Villa,FALSE,FALSE,TRUE,FALSE,5.2 km,4.6 km,6.9 km (Shahpura),FALSE,11.9 km,9.6 km,26.9 km,16.9 km
Hazrat Niz. Sec B,"₹2,800 – ₹4,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,3.0 km,5.0 km (Lower Lake),FALSE,5.3 km,8.3 km,17.3 km,5.3 km
Gurunanak Blk Y,"₹2,600 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.3 km,1.9 km,2.3 km (Upper Lake),FALSE,6.7 km,9.7 km,12.7 km,4.0 km
Khatikpura Int.,"₹2,700 – ₹4,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.9 km,1.5 km,1.7 km (Upper Lake),FALSE,6.3 km,9.3 km,12.3 km,3.6 km
Shaheed Pocket,"₹2,300 – ₹3,700","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.3 km,2.7 km,4.8 km (Lower Lake),FALSE,5.0 km,8.0 km,17.0 km,5.0 km
Mayur Vihar Blk B,"₹2,500 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,3.0 km,2.6 km,6.0 km (Shahpura),FALSE,10.7 km,8.0 km,25.7 km,15.7 km
Naveen Nagar Ext,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,2.3 km,4.4 km (Lower Lake),FALSE,4.7 km,7.7 km,16.7 km,4.7 km
